InvoiceDate,InvoiceNo,CustomerID,Age,Gender,JobRole,Province,Category,SubCategory,ItemName,order rate
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Shoes - Jazba,2
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Shoes - Puma,2
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Sports Bags - Nike,1
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Bats - Kookaburra,2
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Gloves & Pads - STANFORD,3
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Shoes - Jazba,6
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Bats - Kookaburra,1
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Balls - Spartan Sports,3
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Other - Stump,2
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Shoes - Adidas,3
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Other - Bail,1
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Gloves & Pads - KAY GEE,3
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Balls - Spartan Sports,3
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Balls - Spartan Sports,4
12/09/2011 12:50,581587,12680,30,Female,Doctor,North Central Province,Sports,Cricket,Sports Bags - Puma,1
12/09/2011 12:49,581586,13113,25,Male,Software Engineer,Western Province,Sports,Cricket,Bats - Kookaburra,6
12/09/2011 12:49,581586,13113,25,Male,Software Engineer,Western Province,Sports,Cricket,Balls - Spartan Sports,1
12/09/2011 12:49,581586,13113,25,Male,Software Engineer,Western Province,Sports,Cricket,Shoes - Jazba,6
12/09/2011 12:49,581586,13113,25,Male,Software Engineer,Western Province,Sports,Cricket,Gloves & Pads - KAY GEE,1
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Balls - COSCO,2
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Bats - Kookaburra,1
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Shoes - Jazba,3
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Bats - Sareen Sports,3
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Bats - Sareen Sports,2
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Bats - Sareen Sports,1
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Sports Bags - Puma,3
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Balls - Spartan Sports,1
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Bats - Gray-Nicolls,4
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Gloves & Pads - YONEX,5
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Other Stump - Natural,3
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Shoes - Adidas,2
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Other - Bail,2
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Bats - Gray-Nicolls,3
12/09/2011 12:31,581585,15804,52,Male,Sports Master,Northern Province,Sports,Cricket,Bats - Sanspariel Greenlands,1
